timestamp,open,high,low,close,price,market_cap,total_volume,EMA_10,EMA_30,RSI,fvg_up,fvg_down,fair_value_gap,bullish_engulfing,bearish_engulfing
2025-03-09,4.43,4.66,4.22,4.29,4.197409396183482,6383171318.916734,236735619.18009257,4.197409396183482,4.197409396183482,,False,False,False,False,False
2025-03-13,4.29,4.34,3.7,3.98,3.9678273696800868,6042224591.454204,214813382.67319712,4.155667209546501,4.182597652538102,,False,False,False,False,False
2025-03-17,3.97,4.42,3.84,4.3,4.314282745481519,6545350441.360039,158968874.50374356,4.184506397898322,4.191093464986065,,False,False,False,True,False
2025-03-21,4.3,4.58,4.24,4.4,4.395479727868092,6692442564.012292,165327206.86561462,4.222865185165553,4.2042796754945835,,False,False,False,False,False
2025-03-25,4.41,4.77,4.38,4.61,4.621427216494222,7033849006.447469,212722076.55150953,4.295331009043492,4.231192420075206,,False,False,False,False,False
2025-03-29,4.62,4.76,4.26,4.29,4.288950588191705,6525848247.071601,208166543.03374335,4.294170932524985,4.234918753502077,,False,False,False,False,True
2025-04-02,4.28,4.29,3.96,4.18,4.173793075319218,6355713543.520594,157667425.87322918,4.272284049396664,4.230975161361248,,False,False,False,False,False
2025-04-06,4.17,4.22,3.86,3.96,3.9559782355459645,6023526918.530222,105752958.55494936,4.2147739014238095,4.213233424211875,,False,False,False,False,False
2025-04-10,3.96,3.97,3.26,3.64,3.640636267956768,5540880183.59086,317806953.42543346,4.110385240793438,4.176291672195417,,False,False,False,False,False
2025-04-14,3.64,3.8,3.41,3.65,3.6597815107262353,5560436231.226468,173274258.98525998,4.028457289872128,4.142968435971599,,False,False,False,False,False
2025-04-18,3.66,3.78,3.49,3.63,3.6326112307459177,5525573521.757521,126763450.91095191,3.9564852791219076,4.110042164666717,,False,False,False,False,True
2025-04-22,3.63,3.97,3.62,3.79,3.776739553156363,5760004457.891561,137741877.50490862,3.923804238037263,4.0885387703757265,,False,False,False,False,False
2025-04-26,3.78,4.36,3.7,4.26,4.259048301029594,6482598287.282712,206565429.50226244,3.9847577040358684,4.099539385256621,,False,False,False,False,False
2025-04-30,4.26,4.34,4.03,4.14,4.144762125081649,6304485041.951129,138160035.58427954,4.013849416953283,4.102456981374365,,False,False,False,False,False
2025-05-04,4.14,4.28,4.03,4.04,4.029742812752775,6135930964.040179,93216161.87795778,4.016739125280464,4.097765744689101,46.96918455902209,False,False,False,False,False
2025-05-08,4.03,4.04,3.84,3.97,3.9682537124018182,6039138577.273284,121552610.66387962,4.007923595666164,4.089410129702825,50.008205406085594,False,False,False,False,False
2025-05-12,3.97,5.33,3.97,5.09,5.094030270551042,7752745974.3138075,350506176.3997699,4.205397536554324,4.154224332338194,61.5440877983605,False,False,False,False,False
2025-05-16,5.09,5.35,4.72,4.76,4.76704102990654,7256467021.68906,308272387.316572,4.307514535345636,4.193760893471636,55.1277398414991,False,False,False,False,False
2025-05-20,4.77,4.94,4.45,4.59,4.593676091803152,6990495868.341342,246254829.08063692,4.3595439092470025,4.219561874009154,49.611379825394714,False,False,False,False,False
2025-05-24,4.59,5.1,4.54,4.56,4.559349635372725,6941044065.672156,394644545.3789066,4.395872223088043,4.241483665064868,54.131612357556975,False,False,False,False,False
2025-05-28,4.55,4.63,4.38,4.53,4.5341709734459394,6901743235.732749,195550811.71920273,4.4210174504258415,4.260366717218486,55.66215294030738,False,False,False,False,False
2025-06-01,4.53,4.67,3.93,4.08,4.078747148965437,6212054362.041583,201136817.31680605,4.358786486523949,4.248649325718289,51.7948940109712,False,False,False,False,False
2025-06-05,4.08,4.22,3.97,4.02,4.017862677944954,6117158213.30948,179475725.11109507,4.296800339509586,4.233759864571622,55.9584179890995,False,False,False,False,False
