id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,107876.0,2144422922635,1,2144422922635,34200890712.0,110269.0,107601.0,-1734.7929593764857,-1.58268,-35041461412.10791,-1.6078,19877778.0,19877778.0,21000000.0,111814.0,-3.51382,2025-05-22T18:41:28.492Z,67.81,159001.61024,2013-07-06T00:00:00.000Z,,2025-06-12T07:22:32.477Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2768.55,334233402199,2,334233402199,30606427203.0,2870.51,2751.84,-26.196118623068287,-0.93733,-3191810204.685913,-0.94593,120721805.1865729,120721805.1865729,,4878.26,-43.24239,2021-11-10T14:24:19.604Z,0.432979,639373.22956,2015-10-20T00:00:00.000Z,"{'times': 33.31304492767726, 'currency': 'btc', 'percentage': 3331.304492767726}",2025-06-12T07:22:32.448Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.25,132152434587,4,224642627940,2671886226.0,2.33,2.24,-0.044247571832212174,-1.93123,-2414528096.1630707,-1.79429,58819652442.0,99986060343.0,100000000000.0,3.4,-33.87604,2018-01-07T00:00:00.000Z,0.00268621,83556.62325,2014-05-22T00:00:00.000Z,,2025-06-12T07:22:36.120Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,667.86,97426985064,5,97426985064,916808364.0,672.41,662.66,-2.175535918516971,-0.32469,-410956365.48365784,-0.42004,145887575.79,145887575.79,200000000.0,788.84,-15.33605,2024-12-04T10:35:25.220Z,0.0398177,1677209.84814,2017-10-19T00:00:00.000Z,,2025-06-12T07:22:28.785Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,159.47,83811414669,6,96114391178,5115748600.0,167.8,159.08,-6.817290957008737,-4.09967,-3240781548.6477814,-3.7228,525684067.6908901,602851107.0626247,,293.31,-45.66398,2025-01-19T11:15:27.957Z,0.500801,31723.81321,2020-05-11T19:35:23.449Z,,2025-06-12T07:22:51.476Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.190963,28567440402,8,28569330369,1486757529.0,0.203743,0.189873,-0.012780153617001522,-6.27268,-1682174234.1615753,-5.56098,149641576383.7052,149651476383.7052,,0.731578,-73.89328,2021-05-08T05:08:23.458Z,8.69e-05,219673.0723,2015-05-06T00:00:00.000Z,,2025-06-12T07:22:32.404Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.274813,26055747284,9,26055761198,1057620921.0,0.29219,0.273466,-0.01565147173203707,-5.38844,-1477575876.974331,-5.3665,94845164997.27968,94845215645.43427,,0.431288,-36.28324,2024-12-04T00:10:40.323Z,0.00180434,15130.09602,2017-11-12T00:00:00.000Z,"{'times': 143.63824000613457, 'currency': 'usd', 'percentage': 14363.824000613458}",2025-06-12T07:22:36.118Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2766.7,25041895238,10,25041895238,18973629.0,2870.53,2747.34,-27.07506659184037,-0.96912,-165116950.09472275,-0.65504,9053495.295156501,9053495.295156501,,4829.57,-42.68085,2021-11-10T14:40:47.256Z,482.9,473.26374,2020-12-22T04:08:21.854Z,,2025-06-12T07:22:09.578Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.691217,24955416106,11,31112088442,646757046.0,0.728495,0.688172,-0.03264593370950042,-4.50996,-1191445994.6321754,-4.55675,36095092968.40453,45000000000.0,45000000000.0,3.09,-77.60592,2021-09-02T06:00:10.474Z,0.01925275,3490.57988,2020-03-13T02:22:55.044Z,,2025-06-12T07:22:32.400Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,41.83,13975266642,12,41850712790,446115167.0,43.82,40.75,-0.7674601575409739,-1.80146,-246417466.61957932,-1.73269,333928180.0,999990391.0,1000000000.0,43.82,-4.46503,2025-06-11T15:36:41.179Z,3.81,999.0277,2024-11-29T09:30:30.871Z,,2025-06-12T07:22:36.225Z
