symbol,pred,start_price,end_price,expected_gain,confidence,trade_amount,platform_fee,gas_fee,slippage_loss,gross_profit_before_fees,profit,capital
arb,1,0.2972,0.3095,0.041386271870794,0.5799911744256476,4.3625,0.008725,0.15,0.01745,0.16309761103633885,0.004372611036338847,17.454372611036337
bonk,1,1.373e-05,1.437e-05,0.046613255644573845,0.5792795053739357,4.363593152759084,0.00872718630551817,0.15,0.01745437261103634,0.1859469105474348,0.027219724241916654,17.481592335278254
cro,1,0.08618,0.09067,0.05210025527964718,0.5415678638637538,4.3703980838195635,0.008740796167639127,0.15,0.017481592335278254,0.21021726350540185,0.05147646733776273,17.533068802616018
ena,1,0.2718,0.287,0.05592347314201616,0.5799911744256476,4.3832672006540045,0.008766534401308009,0.15,0.017533068802616018,0.22759445676743856,0.06882792236613056,17.601896724982147
fartcoin,1,1.069,1.116,0.04396632366697863,0.5815372589291726,4.400474181245537,0.008800948362491073,0.15,0.017601896724982146,0.17587077541584187,0.017069827053350806,17.6189665520355
fet,1,0.6461,0.6775,0.048599288035907726,0.5799911744256476,4.404741638008875,0.00880948327601775,0.15,0.0176189665520355,0.1964483410373138,0.03763885776129605,17.656605409796796
inj,1,10.7,11.6,0.08411214953271032,0.5799911744256476,4.414151352449199,0.008828302704898398,0.15,0.017656605409796796,0.35362715320742577,0.19479885050252735,17.851404260299322
jup,1,0.3893,0.414,0.0634472129463139,0.5799911744256476,4.4628510650748305,0.00892570213014966,0.15,0.01785140426029932,0.26530405761318726,0.10637835548303762,17.95778261578236
ondo,1,0.7324,0.7805,0.06567449481157826,0.543238254916079,4.48944565394559,0.00897889130789118,0.15,0.01795778261578236,0.2768842926911298,0.11790540138323866,18.0756880171656
op,1,0.54,0.5678,0.05148148148148136,0.5447843394196038,4.5189220042914,0.009037844008582801,0.15,0.018075688017165602,0.21456511146302076,0.05552726745443795,18.131215284620037
render,1,3.126,3.281,0.049584133077415306,0.5799911744256476,4.532803821155009,0.00906560764231002,0.15,0.01813121528462004,0.20662393259734657,0.04755832495503656,18.178773609575074
sei,1,0.1658,0.1833,0.10554885404101319,0.5799911744256476,4.544693402393769,0.009089386804787537,0.15,0.018178773609575073,0.4615084069808405,0.30241902017605293,18.481192629751128
spx,1,1.322,1.443,0.09152798789712556,0.5950374294556159,4.620298157437782,0.009240596314875563,0.15,0.018481192629751127,0.40440540120532575,0.24516480489045014,18.726357434641578
tao,1,345.72,361.68,0.04616452620617835,0.5799911744256478,4.6815893586603945,0.00936317871732079,0.15,0.01872635743464158,0.1973969971998019,0.03803381848248111,18.76439125312406
uni,0,8.12,7.78,-0.04187192118226589,0.5634968236058437,4.691097813281015,0.00938219562656203,0.15,0.01876439125312406,0.2151896691491266,0.05580747352256457,18.820198726646623
